,year,Radiation amount (kWh/m²/day)
0,1989,9.16687766898425
1,1990,11.534777185463259
2,1991,11.894882694571885
3,1992,11.28764629469329
4,1993,12.1296598989361
5,1994,11.987602830552715
6,1995,11.860036208172524
7,1996,11.470349897929712
8,1997,11.443455120814697
9,1998,11.980870510290735
10,1999,12.100678466773163
11,2000,11.909496080789136
12,2001,11.455858094888178
13,2002,12.099602900642171
14,2003,12.286834328616614
15,2004,12.367217488753994
16,2005,12.3250993064377
17,2006,12.071120688878594
18,2007,12.299071217539936
19,2008,12.525766898525001
20,2009,12.045242763185898
21,2010,11.59602609676129
22,2011,11.694124600638977
23,2012,11.788596153846154
24,2013,11.42996805111821
25,2014,11.926317307692308
26,2015,11.479495207667732
27,2016,12.056993610223643
28,2017,11.716910543130991
