,year,Sea level (mm)
109,1989,-25.14739583
110,1990,-22.84739583
111,1991,-22.8140625
112,1992,-20.24739583
113,1993,-22.78072917
114,1994,-17.98072917
115,1995,-15.58072917
116,1996,-11.94739583
117,1997,-2.647395833
118,1998,-10.8140625
119,1999,-0.247395833
120,2000,2.952604167
121,2001,4.719270833
122,2002,2.152604167
123,2003,14.61927083
124,2004,13.65260417
125,2005,12.11927083
126,2006,9.519270833
127,2007,22.7859375
128,2008,30.45260417
129,2009,33.65260417
130,2010,33.87824005
131,2011,36.71847075
132,2012,47.17390325
133,2013,41.33798668
134,2014,53.85737212
135,2015,50.46170567
136,2016,54.34696367
137,2017,57.35599133
